date	time	txf_px	txf_mid_px	txf_or_mid	cboe_fwd	tw_fwd	k0	type
20251203	084515	27848.0000	27848.0000	27848.0000	27862.4181	27848.0000	27800.0000	1
20251203	084530	27850.0000	27841.0000	27841.0000	27894.9891	27841.0000	27800.0000	4
20251203	084545	27843.0000	27843.5000	27843.0000	27907.5164	27843.0000	27800.0000	1
20251203	084600	0.0000	27843.0000	27843.0000	27922.5491	27843.0000	27800.0000	2
20251203	084615	27856.0000	27848.5000	27848.5000	27922.5491	27848.5000	27800.0000	4
20251203	084630	27843.0000	27846.0000	27846.0000	27922.5491	27846.0000	27800.0000	4
20251203	084645	27837.0000	27840.0000	27837.0000	27922.5491	27837.0000	27800.0000	1
20251203	084700	0.0000	27846.0000	27846.0000	27922.5491	27846.0000	27800.0000	2
20251203	084715	27853.0000	27853.0000	27853.0000	27935.0764	27853.0000	27800.0000	1
20251203	084730	27856.0000	27855.5000	27856.0000	27940.0874	27856.0000	27800.0000	1
20251203	084745	27856.0000	27855.0000	27856.0000	27905.0109	27856.0000	27800.0000	1
20251203	084800	27860.0000	27860.0000	27860.0000	27907.5164	27860.0000	27800.0000	1
20251203	084815	27868.0000	27867.5000	27868.0000	27917.5382	27868.0000	27800.0000	1
20251203	084830	0.0000	27866.0000	27866.0000	27915.0328	27866.0000	27800.0000	2
20251203	084845	0.0000	27864.5000	27864.5000	27915.0328	27864.5000	27800.0000	2
20251203	084900	0.0000	27866.5000	27866.5000	27915.0328	27866.5000	27800.0000	2
20251203	084915	27864.0000	27867.5000	27867.5000	27917.5382	27867.5000	27800.0000	4
20251203	084930	0.0000	27866.0000	27866.0000	27915.0328	27866.0000	27800.0000	2
20251203	084945	27870.0000	27871.5000	27870.0000	27920.0437	27870.0000	27800.0000	1
20251203	085000	27865.0000	27866.5000	27865.0000	27915.0328	27865.0000	27800.0000	1
20251203	085015	0.0000	27866.5000	27866.5000	27915.0328	27866.5000	27800.0000	2
20251203	085030	27866.0000	27865.0000	27866.0000	27915.0328	27866.0000	27800.0000	1
20251203	085045	0.0000	27867.5000	27867.5000	27915.0328	27867.5000	27800.0000	2
20251203	085100	0.0000	27866.0000	27866.0000	27915.0328	27866.0000	27800.0000	2
20251203	085115	0.0000	27864.0000	27864.0000	27915.0328	27864.0000	27800.0000	2
20251203	085130	0.0000	27858.5000	27858.5000	27912.5273	27858.5000	27800.0000	2
20251203	085145	0.0000	27856.5000	27856.5000	27910.0218	27856.5000	27800.0000	2
20251203	085200	0.0000	27853.0000	27853.0000	27910.0218	27853.0000	27800.0000	2
20251203	085215	0.0000	27855.5000	27855.5000	27910.0218	27855.5000	27800.0000	2
20251203	085230	27860.0000	27862.0000	27860.0000	27915.0328	27860.0000	27800.0000	1
20251203	085245	0.0000	27863.5000	27863.5000	27915.0328	27863.5000	27800.0000	2
20251203	085300	27868.0000	27868.5000	27868.0000	27920.0437	27868.0000	27800.0000	1
20251203	085315	27870.0000	27869.0000	27870.0000	27917.5382	27870.0000	27800.0000	1
20251203	085330	0.0000	27866.5000	27866.5000	27915.0328	27866.5000	27800.0000	2
20251203	085345	0.0000	27864.5000	27864.5000	27915.0328	27864.5000	27800.0000	2
20251203	085400	0.0000	27865.5000	27865.5000	27874.9454	27865.5000	27800.0000	2
20251203	085415	0.0000	27865.0000	27865.0000	27869.9345	27865.0000	27800.0000	2
20251203	085430	0.0000	27864.0000	27864.0000	27869.9345	27864.0000	27800.0000	2
20251203	085445	0.0000	27863.0000	27863.0000	27869.9345	27863.0000	27800.0000	2
20251203	085500	0.0000	27863.0000	27863.0000	27869.9345	27863.0000	27800.0000	2
20251203	085515	0.0000	27859.5000	27859.5000	27867.4290	27859.5000	27800.0000	2
20251203	085530	27860.0000	27853.0000	27853.0000	27859.9126	27853.0000	27800.0000	4
20251203	085545	0.0000	27857.0000	27857.0000	27862.4181	27857.0000	27800.0000	2
20251203	085600	0.0000	27849.0000	27849.0000	27859.9126	27849.0000	27800.0000	2
20251203	085615	0.0000	27844.5000	27844.5000	27854.9017	27844.5000	27800.0000	2
20251203	085630	0.0000	27841.0000	27841.0000	27847.6037	27841.0000	27800.0000	2
20251203	085645	27838.0000	27837.5000	27838.0000	27847.6037	27838.0000	27800.0000	1
20251203	085700	27833.0000	27835.0000	27833.0000	27842.5928	27833.0000	27800.0000	1
20251203	085715	0.0000	27841.0000	27841.0000	27842.5928	27841.0000	27800.0000	2
20251203	085730	0.0000	27842.5000	27842.5000	27845.0983	27842.5000	27800.0000	2
20251203	085745	0.0000	27839.5000	27839.5000	27842.5928	27839.5000	27800.0000	2
20251203	085800	27839.0000	27839.5000	27839.0000	27845.0983	27839.0000	27800.0000	1
20251203	085815	0.0000	27834.5000	27834.5000	27842.5928	27834.5000	27800.0000	2
20251203	085830	0.0000	27838.5000	27838.5000	27845.0983	27838.5000	27800.0000	2
20251203	085845	0.0000	27838.0000	27838.0000	27842.5928	27838.0000	27800.0000	2
20251203	085900	0.0000	27835.0000	27835.0000	27842.5928	27835.0000	27800.0000	2
20251203	085915	27830.0000	27832.0000	27830.0000	27832.5710	27830.0000	27800.0000	1
20251203	085930	27830.0000	27835.5000	27835.5000	27837.5819	27835.5000	27800.0000	4
20251203	085945	0.0000	27837.0000	27837.0000	27840.0873	27837.0000	27800.0000	2
20251203	090000	0.0000	27841.5000	27841.5000	27840.0873	27841.5000	27800.0000	2
20251203	090015	27843.0000	27851.0000	27851.0000	27850.1092	27851.0000	27800.0000	4
20251203	090030	0.0000	27851.5000	27851.5000	27852.3963	27851.5000	27800.0000	2
20251203	090045	27852.0000	27856.0000	27856.0000	27854.9017	27856.0000	27800.0000	4
20251203	090100	0.0000	27857.0000	27857.0000	27854.9017	27857.0000	27800.0000	2
20251203	090115	27867.0000	27861.0000	27861.0000	27857.4072	27861.0000	27800.0000	4
20251203	090130	27867.0000	27865.5000	27867.0000	27862.4181	27867.0000	27800.0000	1
20251203	090145	27870.0000	27873.0000	27873.0000	27869.9345	27873.0000	27800.0000	4
20251203	090200	27870.0000	27873.0000	27873.0000	27869.9345	27873.0000	27800.0000	4
20251203	090215	27865.0000	27871.0000	27871.0000	27869.9345	27871.0000	27800.0000	4
20251203	090230	27873.0000	27875.5000	27873.0000	27869.9345	27873.0000	27800.0000	1
20251203	090245	27873.0000	27871.0000	27873.0000	27869.9345	27873.0000	27800.0000	1
20251203	090300	27869.0000	27866.0000	27866.0000	27869.9345	27866.0000	27800.0000	4
20251203	090315	0.0000	27861.0000	27861.0000	27859.9127	27861.0000	27800.0000	2
20251203	090330	0.0000	27861.0000	27861.0000	27859.9127	27861.0000	27800.0000	2
20251203	090345	0.0000	27856.5000	27856.5000	27857.4072	27856.5000	27800.0000	2
20251203	090400	27850.0000	27848.5000	27850.0000	27852.3963	27850.0000	27800.0000	1
20251203	090415	0.0000	27855.5000	27855.5000	27852.3963	27855.5000	27800.0000	2
20251203	090430	0.0000	27857.0000	27857.0000	27852.3963	27857.0000	27800.0000	2
20251203	090445	0.0000	27850.5000	27850.5000	27852.3963	27850.5000	27800.0000	2
20251203	090500	0.0000	27849.5000	27849.5000	27852.3963	27849.5000	27800.0000	2
20251203	090515	0.0000	27851.0000	27851.0000	27852.3963	27851.0000	27800.0000	2
20251203	090530	27844.0000	27843.0000	27844.0000	27852.3963	27844.0000	27800.0000	1
20251203	090545	0.0000	27842.5000	27842.5000	27850.1092	27842.5000	27800.0000	2
20251203	090600	0.0000	27838.0000	27838.0000	27845.0983	27838.0000	27800.0000	2
20251203	090615	27845.0000	27839.5000	27839.5000	27842.5928	27839.5000	27800.0000	4
20251203	090630	0.0000	27834.0000	27834.0000	27840.0873	27834.0000	27800.0000	2
20251203	090645	0.0000	27833.5000	27833.5000	27840.0873	27833.5000	27800.0000	2
20251203	090700	0.0000	27832.0000	27832.0000	27840.0873	27832.0000	27800.0000	2
20251203	090715	0.0000	27818.5000	27818.5000	27825.0546	27818.5000	27800.0000	2
20251203	090730	0.0000	27818.5000	27818.5000	27825.0546	27818.5000	27800.0000	2
20251203	090745	27820.0000	27817.0000	27817.0000	27825.0546	27817.0000	27800.0000	4
20251203	090800	0.0000	27827.5000	27827.5000	27827.5600	27827.5000	27800.0000	2
20251203	090815	0.0000	27820.5000	27820.5000	27822.5491	27820.5000	27800.0000	2
20251203	090830	27820.0000	27820.5000	27820.0000	27822.5491	27820.0000	27800.0000	1
20251203	090845	0.0000	27823.0000	27823.0000	27822.5491	27823.0000	27800.0000	2
20251203	090900	27823.0000	27826.5000	27826.5000	27827.5600	27826.5000	27800.0000	4
20251203	090915	0.0000	27827.0000	27827.0000	27832.5710	27827.0000	27800.0000	2
20251203	090930	0.0000	27814.0000	27814.0000	27822.5491	27814.0000	27800.0000	2
20251203	090945	0.0000	27814.5000	27814.5000	27822.5491	27814.5000	27800.0000	2
20251203	091000	0.0000	27817.5000	27817.5000	27822.5491	27817.5000	27800.0000	2
20251203	091015	0.0000	27821.0000	27821.0000	27820.0437	27821.0000	27800.0000	2
20251203	091030	0.0000	27830.0000	27830.0000	27827.5600	27830.0000	27800.0000	2
20251203	091045	0.0000	27836.0000	27836.0000	27835.0764	27836.0000	27800.0000	2
20251203	091100	0.0000	27835.5000	27835.5000	27837.5819	27835.5000	27800.0000	2
20251203	091115	0.0000	27839.5000	27839.5000	27837.5819	27839.5000	27800.0000	2
20251203	091130	0.0000	27834.0000	27834.0000	27837.5819	27834.0000	27800.0000	2
20251203	091145	0.0000	27831.0000	27831.0000	27832.5710	27831.0000	27800.0000	2
20251203	091200	27838.0000	27843.5000	27843.5000	27842.5928	27843.5000	27800.0000	4
20251203	091215	0.0000	27839.0000	27839.0000	27840.0873	27839.0000	27800.0000	2
20251203	091230	0.0000	27838.0000	27838.0000	27840.0873	27838.0000	27800.0000	2
20251203	091245	0.0000	27838.0000	27838.0000	27837.5819	27838.0000	27800.0000	2
20251203	091300	0.0000	27833.5000	27833.5000	27832.5710	27833.5000	27800.0000	2
20251203	091315	0.0000	27830.5000	27830.5000	27832.5710	27830.5000	27800.0000	2
20251203	091330	27820.0000	27819.0000	27820.0000	27825.0546	27820.0000	27800.0000	1
20251203	091345	0.0000	27812.0000	27812.0000	27815.0327	27812.0000	27800.0000	2
20251203	091400	27803.0000	27804.5000	27803.0000	27810.0218	27803.0000	27800.0000	1
20251203	091415	27799.0000	27811.0000	27811.0000	27810.0218	27811.0000	27800.0000	4
20251203	091430	0.0000	27815.0000	27815.0000	27810.0218	27815.0000	27800.0000	2
20251203	091445	27804.0000	27813.5000	27813.5000	27812.5273	27813.5000	27800.0000	4
20251203	091500	0.0000	27814.5000	27814.5000	27810.0218	27814.5000	27800.0000	2
20251203	091515	0.0000	27808.5000	27808.5000	27810.0218	27808.5000	27800.0000	2
20251203	091530	0.0000	27816.0000	27816.0000	27817.5382	27816.0000	27800.0000	2
20251203	091545	0.0000	27812.5000	27812.5000	27815.0327	27812.5000	27800.0000	2
20251203	091600	0.0000	27812.0000	27812.0000	27815.0327	27812.0000	27800.0000	2
20251203	091615	27814.0000	27815.0000	27814.0000	27820.0437	27814.0000	27800.0000	1
20251203	091630	0.0000	27816.5000	27816.5000	27820.0437	27816.5000	27800.0000	2
20251203	091645	0.0000	27809.0000	27809.0000	27812.5273	27809.0000	27800.0000	2
20251203	091700	0.0000	27810.0000	27810.0000	27812.5273	27810.0000	27800.0000	2
20251203	091715	0.0000	27814.5000	27814.5000	27815.0327	27814.5000	27800.0000	2
20251203	091730	0.0000	27808.5000	27808.5000	27815.0327	27808.5000	27800.0000	2
20251203	091745	0.0000	27810.0000	27810.0000	27815.0327	27810.0000	27800.0000	2
20251203	091800	0.0000	27805.5000	27805.5000	27810.0218	27805.5000	27800.0000	2
20251203	091815	27807.0000	27806.5000	27807.0000	27812.5273	27807.0000	27800.0000	1
20251203	091830	0.0000	27804.5000	27804.5000	27810.0218	27804.5000	27800.0000	2
20251203	091845	0.0000	27805.5000	27805.5000	27810.0218	27805.5000	27800.0000	2
20251203	091900	0.0000	27809.0000	27809.0000	27812.5273	27809.0000	27800.0000	2
20251203	091915	27799.0000	27801.5000	27799.0000	27802.5055	27799.0000	27700.0000	1
20251203	091930	27809.0000	27811.5000	27809.0000	27810.0218	27809.0000	27800.0000	1
20251203	091945	0.0000	27815.5000	27815.5000	27817.5382	27815.5000	27800.0000	2
20251203	092000	0.0000	27821.0000	27821.0000	27820.0437	27821.0000	27800.0000	2
20251203	092015	0.0000	27825.0000	27825.0000	27820.0437	27825.0000	27800.0000	2
