date	time	txf_px	txf_mid_px	txf_or_mid	cboe_fwd	tw_fwd	k0	type
20251215	084515	27851.0000	27852.0000	27851.0000	28149.5812	27851.0000	27800.0000	1
20251215	084530	27833.0000	27841.0000	27841.0000	28149.5812	27841.0000	27800.0000	4
20251215	084545	27871.0000	27868.5000	27871.0000	27939.9015	27871.0000	27800.0000	1
20251215	084600	27865.0000	27862.5000	27862.5000	27885.1395	27862.5000	27800.0000	4
20251215	084615	27869.0000	27866.5000	27869.0000	27900.1641	27869.0000	27800.0000	1
20251215	084630	27881.0000	27877.5000	27877.5000	27882.6354	27877.5000	27800.0000	4
20251215	084645	27877.0000	27877.5000	27877.0000	27872.4549	27877.0000	27800.0000	1
20251215	084700	27877.0000	27876.5000	27877.0000	27872.4549	27877.0000	27800.0000	1
20251215	084715	27886.0000	27883.5000	27886.0000	27879.9672	27886.0000	27800.0000	1
20251215	084730	27885.0000	27883.5000	27885.0000	27894.9918	27885.0000	27800.0000	1
20251215	084745	27890.0000	27891.5000	27890.0000	27900.0000	27890.0000	27800.0000	1
20251215	084800	27899.0000	27902.0000	27902.0000	27897.4959	27902.0000	27900.0000	4
20251215	084815	27906.0000	27906.0000	27906.0000	27897.4959	27906.0000	27900.0000	1
20251215	084830	27911.0000	27908.0000	27908.0000	27910.0164	27908.0000	27900.0000	4
20251215	084845	27904.0000	27903.5000	27904.0000	27907.5123	27904.0000	27900.0000	1
20251215	084900	27901.0000	27903.0000	27901.0000	27907.5123	27901.0000	27900.0000	1
20251215	084915	27902.0000	27900.5000	27902.0000	27907.5123	27902.0000	27900.0000	1
20251215	084930	27900.0000	27899.5000	27900.0000	27907.5123	27900.0000	27900.0000	1
20251215	084945	27894.0000	27891.5000	27891.5000	27902.5041	27891.5000	27800.0000	4
20251215	085000	27895.0000	27890.0000	27890.0000	27900.0000	27890.0000	27800.0000	4
20251215	085015	27876.0000	27878.5000	27878.5000	27892.4877	27878.5000	27800.0000	4
20251215	085030	27864.0000	27865.0000	27864.0000	27882.4713	27864.0000	27800.0000	1
20251215	085045	27875.0000	27874.5000	27875.0000	27882.4713	27875.0000	27800.0000	1
20251215	085100	27876.0000	27876.0000	27876.0000	27882.4713	27876.0000	27800.0000	1
20251215	085115	27870.0000	27870.5000	27870.0000	27877.4631	27870.0000	27800.0000	1
20251215	085130	27867.0000	27867.5000	27867.0000	27877.4631	27867.0000	27800.0000	1
20251215	085145	27866.0000	27869.5000	27869.5000	27877.4631	27869.5000	27800.0000	4
20251215	085200	27872.0000	27873.0000	27872.0000	27874.9590	27872.0000	27800.0000	1
20251215	085215	27875.0000	27874.5000	27875.0000	27882.4713	27875.0000	27800.0000	1
20251215	085230	27870.0000	27868.5000	27870.0000	27877.4631	27870.0000	27800.0000	1
20251215	085245	27875.0000	27873.5000	27875.0000	27882.4713	27875.0000	27800.0000	1
20251215	085300	27876.0000	27876.5000	27876.0000	27879.9672	27876.0000	27800.0000	1
20251215	085315	27881.0000	27880.0000	27881.0000	27884.9754	27881.0000	27800.0000	1
