date	time	bid	ask	rpt_px	mid
20251223	084515	28385.00	28387.00	28385.00	28386.00
20251223	084530	28367.00	28370.00	28367.00	28368.50
20251223	084545	28371.00	28373.00	28372.00	28372.00
20251223	084600	28371.00	28373.00	28372.00	28372.00
20251223	084615	28368.00	28369.00	28367.00	28368.50
20251223	084630	28368.00	28371.00	28371.00	28369.50
20251223	084645	28372.00	28374.00	28373.00	28373.00
20251223	084700	28370.00	28372.00	28370.00	28371.00
20251223	084715	28372.00	28375.00	28372.00	28373.50
20251223	084730	28372.00	28373.00	28373.00	28372.50
20251223	084745	28367.00	28368.00	28368.00	28367.50
20251223	084800	28366.00	28367.00	28368.00	28366.50
20251223	084815	28373.00	28374.00	28371.00	28373.50
20251223	084830	28382.00	28384.00	28383.00	28383.00
20251223	084845	28382.00	28384.00	28384.00	28383.00
20251223	084900	28383.00	28385.00	28386.00	28384.00
20251223	084915	28388.00	28389.00	28388.00	28388.50
20251223	084930	28385.00	28388.00	28386.00	28386.50
20251223	084945	28384.00	28386.00	28385.00	28385.00
20251223	085000	28377.00	28379.00	28379.00	28378.00
20251223	085015	28378.00	28381.00	28379.00	28379.50
20251223	085030	28377.00	28378.00	28378.00	28377.50
20251223	085045	28375.00	28377.00	28376.00	28376.00
20251223	085100	28375.00	28378.00	28378.00	28376.50
20251223	085115	28365.00	28368.00	28367.00	28366.50
20251223	085130	28367.00	28369.00	28368.00	28368.00
20251223	085145	28368.00	28371.00	28368.00	28369.50
20251223	085200	28368.00	28370.00	28369.00	28369.00
20251223	085215	28368.00	28370.00	28370.00	28369.00
20251223	085230	28368.00	28370.00	28370.00	28369.00
20251223	085245	28369.00	28372.00	28369.00	28370.50
20251223	085300	28371.00	28373.00	28371.00	28372.00
20251223	085315	28372.00	28375.00	28376.00	28373.50
20251223	085330	28373.00	28375.00	28375.00	28374.00
20251223	085345	28373.00	28375.00	28375.00	28374.00
20251223	085400	28375.00	28378.00	28377.00	28376.50
20251223	085415	28374.00	28377.00	28375.00	28375.50
20251223	085430	28374.00	28377.00	0.00	28375.50
20251223	085445	28376.00	28377.00	28376.00	28376.50
20251223	085500	28374.00	28377.00	28374.00	28375.50
20251223	085515	28371.00	28373.00	28372.00	28372.00
20251223	085530	28375.00	28378.00	28374.00	28376.50
20251223	085545	28378.00	28380.00	28380.00	28379.00
20251223	085600	28370.00	28372.00	28371.00	28371.00
20251223	085615	28370.00	28371.00	28369.00	28370.50
20251223	085630	28371.00	28374.00	28372.00	28372.50
20251223	085645	28371.00	28373.00	28372.00	28372.00
20251223	085700	28368.00	28370.00	28368.00	28369.00
20251223	085715	28371.00	28373.00	28372.00	28372.00
20251223	085730	28368.00	28370.00	28369.00	28369.00
20251223	085745	28369.00	28371.00	28370.00	28370.00
20251223	085800	28365.00	28366.00	28366.00	28365.50
20251223	085815	28367.00	28368.00	28368.00	28367.50
20251223	085830	28362.00	28363.00	28363.00	28362.50
20251223	085845	28362.00	28364.00	28363.00	28363.00
20251223	085900	28359.00	28362.00	28360.00	28360.50
20251223	085915	28360.00	28361.00	28360.00	28360.50
20251223	085930	28366.00	28368.00	28367.00	28367.00
20251223	085945	28364.00	28366.00	28365.00	28365.00
20251223	090000	28372.00	28375.00	28374.00	28373.50
20251223	090015	28377.00	28380.00	28378.00	28378.50
20251223	090030	28375.00	28377.00	28374.00	28376.00
20251223	090045	28381.00	28382.00	28381.00	28381.50
20251223	090100	28383.00	28385.00	28383.00	28384.00
20251223	090115	28376.00	28379.00	28376.00	28377.50
20251223	090130	28378.00	28380.00	28378.00	28379.00
20251223	090145	28385.00	28387.00	28386.00	28386.00
20251223	090200	28385.00	28388.00	28384.00	28386.50
20251223	090215	28378.00	28380.00	28379.00	28379.00
20251223	090230	28371.00	28374.00	28373.00	28372.50
