date	time	bid	ask	rpt_px	mid
20251231	084515	28902.00	28910.00	28907.00	28906.00
20251231	084530	28901.00	28909.00	28904.00	28905.00
20251231	084545	28903.00	28911.00	28906.00	28907.00
20251231	084600	28904.00	28911.00	0.00	28907.50
20251231	084615	28900.00	28908.00	28901.00	28904.00
20251231	084630	28893.00	28900.00	28898.00	28896.50
20251231	084645	28893.00	28898.00	28898.00	28895.50
20251231	084700	28888.00	28893.00	28895.00	28890.50
20251231	084715	28888.00	28892.00	0.00	28890.00
20251231	084730	28880.00	28886.00	28888.00	28883.00
20251231	084745	28883.00	28890.00	0.00	28886.50
20251231	084800	28882.00	28889.00	0.00	28885.50
20251231	084815	28880.00	28886.00	28878.00	28883.00
20251231	084830	28885.00	28890.00	0.00	28887.50
20251231	084845	28890.00	28895.00	28894.00	28892.50
20251231	084900	28890.00	28896.00	0.00	28893.00
20251231	084915	28889.00	28894.00	28890.00	28891.50
20251231	084930	28889.00	28894.00	28894.00	28891.50
20251231	084945	28888.00	28892.00	0.00	28890.00
20251231	085000	28888.00	28893.00	0.00	28890.50
20251231	085015	28889.00	28895.00	0.00	28892.00
20251231	085030	28892.00	28896.00	0.00	28894.00
20251231	085045	28893.00	28897.00	0.00	28895.00
20251231	085100	28893.00	28897.00	28897.00	28895.00
20251231	085115	28892.00	28897.00	28897.00	28894.50
20251231	085130	28890.00	28893.00	0.00	28891.50
20251231	085145	28890.00	28895.00	0.00	28892.50
20251231	085200	28892.00	28897.00	0.00	28894.50
20251231	085215	28890.00	28894.00	0.00	28892.00
20251231	085230	28885.00	28890.00	28888.00	28887.50
20251231	085245	28884.00	28888.00	0.00	28886.00
20251231	085300	28883.00	28888.00	28884.00	28885.50
20251231	085315	28881.00	28886.00	28882.00	28883.50
20251231	085330	28883.00	28888.00	0.00	28885.50
20251231	085345	28880.00	28886.00	0.00	28883.00
20251231	085400	28878.00	28884.00	28878.00	28881.00
20251231	085415	28882.00	28887.00	0.00	28884.50
20251231	085430	28884.00	28890.00	0.00	28887.00
20251231	085445	28885.00	28890.00	0.00	28887.50
20251231	085500	28888.00	28894.00	0.00	28891.00
20251231	085515	28891.00	28897.00	0.00	28894.00
20251231	085530	28890.00	28895.00	0.00	28892.50
20251231	085545	28888.00	28893.00	0.00	28890.50
20251231	085600	28891.00	28895.00	0.00	28893.00
20251231	085615	28886.00	28891.00	0.00	28888.50
20251231	085630	28887.00	28891.00	0.00	28889.00
20251231	085645	28889.00	28894.00	0.00	28891.50
20251231	085700	28888.00	28893.00	0.00	28890.50
20251231	085715	28885.00	28889.00	28888.00	28887.00
20251231	085730	28885.00	28891.00	0.00	28888.00
20251231	085745	28886.00	28890.00	0.00	28888.00
20251231	085800	28886.00	28890.00	0.00	28888.00
20251231	085815	28879.00	28882.00	28885.00	28880.50
20251231	085830	28882.00	28886.00	28883.00	28884.00
20251231	085845	28882.00	28886.00	0.00	28884.00
20251231	085900	28882.00	28886.00	0.00	28884.00
20251231	085915	28880.00	28884.00	28882.00	28882.00
20251231	085930	28879.00	28882.00	28883.00	28880.50
20251231	085945	28879.00	28881.00	28879.00	28880.00
20251231	090000	28869.00	28873.00	28870.00	28871.00
20251231	090015	28893.00	28898.00	0.00	28895.50
20251231	090030	28886.00	28892.00	0.00	28889.00
20251231	090045	28898.00	28903.00	28886.00	28900.50
20251231	090100	28890.00	28896.00	28890.00	28893.00
20251231	090115	28883.00	28889.00	28886.00	28886.00
20251231	090130	28883.00	28888.00	0.00	28885.50
20251231	090145	28882.00	28888.00	0.00	28885.00
20251231	090200	28887.00	28893.00	0.00	28890.00
20251231	090215	28895.00	28900.00	28892.00	28897.50
20251231	090230	28902.00	28907.00	0.00	28904.50
20251231	090245	28901.00	28907.00	0.00	28904.00
20251231	090300	28890.00	28895.00	28904.00	28892.50
20251231	090315	28900.00	28905.00	28903.00	28902.50
20251231	090330	28904.00	28909.00	28906.00	28906.50
20251231	090345	28907.00	28913.00	28910.00	28910.00
20251231	090400	28923.00	28927.00	28926.00	28925.00
20251231	090415	28923.00	28928.00	28926.00	28925.50
20251231	090430	28927.00	28933.00	28930.00	28930.00
20251231	090445	28924.00	28929.00	28926.00	28926.50
20251231	090500	28931.00	28935.00	0.00	28933.00
20251231	090515	28925.00	28930.00	0.00	28927.50
20251231	090530	28929.00	28935.00	0.00	28932.00
20251231	090545	28928.00	28933.00	0.00	28930.50
20251231	090600	28920.00	28926.00	0.00	28923.00
20251231	090615	28928.00	28933.00	28930.00	28930.50
20251231	090630	28927.00	28931.00	0.00	28929.00
20251231	090645	28929.00	28934.00	0.00	28931.50
20251231	090700	28932.00	28938.00	28935.00	28935.00
20251231	090715	28943.00	28946.00	28938.00	28944.50
20251231	090730	28948.00	28953.00	28946.00	28950.50
20251231	090745	28946.00	28951.00	28956.00	28948.50
20251231	090800	28951.00	28955.00	0.00	28953.00
20251231	090815	28946.00	28951.00	28951.00	28948.50
20251231	090830	28945.00	28950.00	0.00	28947.50
20251231	090845	28946.00	28952.00	0.00	28949.00
20251231	090900	28946.00	28951.00	0.00	28948.50
20251231	090915	28946.00	28951.00	0.00	28948.50
20251231	090930	28951.00	28955.00	28952.00	28953.00
20251231	090945	28955.00	28958.00	0.00	28956.50
20251231	091000	28956.00	28961.00	28958.00	28958.50
20251231	091015	28948.00	28954.00	28957.00	28951.00
20251231	091030	28946.00	28950.00	0.00	28948.00
20251231	091045	28946.00	28952.00	0.00	28949.00
20251231	091100	28947.00	28953.00	0.00	28950.00
20251231	091115	28953.00	28958.00	0.00	28955.50
20251231	091130	28950.00	28955.00	0.00	28952.50
20251231	091145	28944.00	28950.00	0.00	28947.00
20251231	091200	28948.00	28954.00	0.00	28951.00
20251231	091215	28951.00	28955.00	0.00	28953.00
20251231	091230	28944.00	28950.00	28954.00	28947.00
20251231	091245	28944.00	28949.00	0.00	28946.50
20251231	091300	28942.00	28947.00	0.00	28944.50
20251231	091315	28939.00	28943.00	0.00	28941.00
20251231	091330	28939.00	28944.00	0.00	28941.50
20251231	091345	28946.00	28950.00	0.00	28948.00
20251231	091400	28938.00	28944.00	0.00	28941.00
20251231	091415	28938.00	28943.00	0.00	28940.50
20251231	091430	28942.00	28948.00	28943.00	28945.00
20251231	091445	28940.00	28946.00	28941.00	28943.00
20251231	091500	28938.00	28944.00	0.00	28941.00
20251231	091515	28946.00	28948.00	0.00	28947.00
20251231	091530	28951.00	28957.00	28950.00	28954.00
20251231	091545	28951.00	28957.00	0.00	28954.00
20251231	091600	28948.00	28954.00	28951.00	28951.00
20251231	091615	28949.00	28955.00	0.00	28952.00
20251231	091630	28948.00	28954.00	0.00	28951.00
20251231	091645	28949.00	28955.00	0.00	28952.00
20251231	091700	28946.00	28952.00	0.00	28949.00
20251231	091715	28948.00	28955.00	0.00	28951.50
20251231	091730	28950.00	28956.00	0.00	28953.00
20251231	091745	28952.00	28957.00	0.00	28954.50
20251231	091800	28942.00	28949.00	0.00	28945.50
20251231	091815	28942.00	28948.00	0.00	28945.00
20251231	091830	28943.00	28949.00	0.00	28946.00
20251231	091845	28934.00	28939.00	28938.00	28936.50
20251231	091900	28937.00	28944.00	0.00	28940.50
20251231	091915	28938.00	28944.00	0.00	28941.00
20251231	091930	28938.00	28944.00	0.00	28941.00
20251231	091945	28941.00	28948.00	0.00	28944.50
20251231	092000	28938.00	28944.00	0.00	28941.00
20251231	092015	28933.00	28939.00	0.00	28936.00
20251231	092030	28938.00	28945.00	0.00	28941.50
20251231	092045	28936.00	28943.00	0.00	28939.50
20251231	092100	28938.00	28944.00	0.00	28941.00
20251231	092115	28938.00	28944.00	28944.00	28941.00
20251231	092130	28938.00	28943.00	0.00	28940.50
20251231	092145	28933.00	28939.00	0.00	28936.00
20251231	092200	28931.00	28933.00	28932.00	28932.00
20251231	092215	28922.00	28928.00	28928.00	28925.00
20251231	092230	28928.00	28932.00	28928.00	28930.00
20251231	092245	28922.00	28927.00	28928.00	28924.50
20251231	092300	28927.00	28933.00	28928.00	28930.00
20251231	092315	28933.00	28940.00	0.00	28936.50
20251231	092330	28935.00	28941.00	0.00	28938.00
20251231	092345	28928.00	28934.00	0.00	28931.00
20251231	092400	28927.00	28934.00	0.00	28930.50
20251231	092415	28927.00	28932.00	0.00	28929.50
20251231	092430	28923.00	28930.00	0.00	28926.50
20251231	092445	28932.00	28939.00	0.00	28935.50
20251231	092500	28925.00	28931.00	0.00	28928.00
20251231	092515	28918.00	28922.00	28928.00	28920.00
20251231	092530	28911.00	28918.00	28910.00	28914.50
20251231	092545	28912.00	28918.00	0.00	28915.00
20251231	092600	28910.00	28915.00	0.00	28912.50
20251231	092615	28912.00	28918.00	28908.00	28915.00
20251231	092630	28912.00	28919.00	0.00	28915.50
20251231	092645	28915.00	28920.00	0.00	28917.50
20251231	092700	28916.00	28921.00	28915.00	28918.50
20251231	092715	28921.00	28926.00	28925.00	28923.50
20251231	092730	28922.00	28926.00	0.00	28924.00
20251231	092745	28927.00	28932.00	0.00	28929.50
20251231	092800	28931.00	28935.00	0.00	28933.00
20251231	092815	28929.00	28935.00	0.00	28932.00
20251231	092830	28932.00	28938.00	0.00	28935.00
20251231	092845	28951.00	28957.00	28957.00	28954.00
20251231	092900	28959.00	28964.00	0.00	28961.50
20251231	092915	28956.00	28961.00	0.00	28958.50
20251231	092930	28947.00	28952.00	0.00	28949.50
20251231	092945	28951.00	28956.00	28950.00	28953.50
20251231	093000	28951.00	28955.00	28950.00	28953.00
20251231	093015	28953.00	28958.00	0.00	28955.50
20251231	093030	28944.00	28950.00	28950.00	28947.00
20251231	093045	28944.00	28950.00	0.00	28947.00
20251231	093100	28949.00	28955.00	28950.00	28952.00
20251231	093115	28947.00	28953.00	0.00	28950.00
20251231	093130	28942.00	28948.00	0.00	28945.00
20251231	093145	28954.00	28960.00	28955.00	28957.00
20251231	093200	28960.00	28966.00	28960.00	28963.00
20251231	093215	28953.00	28959.00	28962.00	28956.00
20251231	093230	28975.00	28982.00	28973.00	28978.50
20251231	093245	28974.00	28981.00	0.00	28977.50
20251231	093300	28977.00	28984.00	0.00	28980.50
20251231	093315	28983.00	28988.00	0.00	28985.50
20251231	093330	28981.00	28986.00	28982.00	28983.50
20251231	093345	28982.00	28987.00	28980.00	28984.50
20251231	093400	28981.00	28986.00	28984.00	28983.50
20251231	093415	28981.00	28987.00	0.00	28984.00
20251231	093430	28980.00	28985.00	28982.00	28982.50
20251231	093445	28980.00	28986.00	28985.00	28983.00
20251231	093500	28981.00	28985.00	28984.00	28983.00
20251231	093515	28978.00	28983.00	28980.00	28980.50
20251231	093530	28972.00	28977.00	0.00	28974.50
20251231	093545	28970.00	28973.00	0.00	28971.50
20251231	093600	28966.00	28973.00	28970.00	28969.50
20251231	093615	28970.00	28977.00	0.00	28973.50
20251231	093630	28976.00	28982.00	28978.00	28979.00
20251231	093645	28976.00	28980.00	0.00	28978.00
20251231	093700	28972.00	28978.00	28974.00	28975.00
20251231	093715	28973.00	28979.00	0.00	28976.00
20251231	093730	28971.00	28977.00	0.00	28974.00
20251231	093745	28966.00	28972.00	28970.00	28969.00
20251231	093800	28967.00	28973.00	28970.00	28970.00
20251231	093815	28972.00	28978.00	0.00	28975.00
20251231	093830	28976.00	28980.00	28978.00	28978.00
20251231	093845	28977.00	28983.00	28980.00	28980.00
20251231	093900	28976.00	28982.00	0.00	28979.00
20251231	093915	28977.00	28983.00	0.00	28980.00
20251231	093930	28980.00	28983.00	0.00	28981.50
20251231	093945	28980.00	28983.00	0.00	28981.50
20251231	094000	28974.00	28980.00	28983.00	28977.00
20251231	094015	28967.00	28972.00	0.00	28969.50
20251231	094030	28967.00	28972.00	0.00	28969.50
20251231	094045	28962.00	28968.00	28967.00	28965.00
20251231	094100	28960.00	28966.00	28961.00	28963.00
20251231	094115	28961.00	28967.00	28963.00	28964.00
20251231	094130	28957.00	28963.00	28953.00	28960.00
20251231	094145	28962.00	28967.00	28960.00	28964.50
20251231	094200	28964.00	28970.00	0.00	28967.00
20251231	094215	28967.00	28973.00	28973.00	28970.00
20251231	094230	28973.00	28979.00	28969.00	28976.00
20251231	094245	28978.00	28984.00	0.00	28981.00
20251231	094300	28972.00	28978.00	0.00	28975.00
20251231	094315	28971.00	28978.00	0.00	28974.50
20251231	094330	28969.00	28976.00	0.00	28972.50
