Detailed Report:	=HYPERLINK("\\192.168.162.106\vixrpt\alerts\RT\202512\20251210")
(13:30:15)VIX alert is triggered by condition 5 & 8
condition1: ori_VIX changes >= 2%
condition2: ori_VIX changes <= 0.8% while forward changes >= 0.25%
condition3: ori_VIX changes >= 6% or ori_VIX changes <= 3% while forward changes >= 0.75% between open (09:00:00) today and close of the previous trading day
condition4: ori_VIX did not change for at least 4 times
condition5: using last near sigma
condition6: using last next sigma when next term weight >= 50%
condition7: Index level filtering has been triggered for 4 times in a row (2.5%)
condition8: The number of option series used for sigma calculation decreases for at least 15%

date	time	nearT	nearW	nearForward	nearK0	nearSigma^2	No of nearSeries	nearType	nextT	nextW	nextForward	nextK0	nextSigma^2	No of nextSeries	nextType	ori_vix	vix	ori_vix_change
20251210	133000	0.0191780822	0.3428571429	28390.0000000000	28350	0.0338640490	117	0	0.1150684932	0.6571428571	28415.0000000000	28400	0.0413899770	103	0	20.1960151351	20.20
20251210	133015	0.0191776065	0.3428521825	28385.0000000000	28350	0.0338640490	98	I,B	0.1150680175	0.6571478175	28413.0000000000	28400	0.0426202465	89	0	20.4743200537	20.47	0.0137801896
month	time	moneyness	strike	mid	spreadRatio	contrib	contribWeight	time	moneyness	strike	mid	spreadRatio	contrib	contribWeight	contribWeightDiff	contribDiff(%)
202512	133000	   	21200	0.7	1.4285714286	0.0000003116	0.09566511%
202512	133000	   	21400	0.8	1.0000000000	0.0000003495	0.10730088%
202512	133000	   	21600	0.75	1.4666666667	0.0000002412	0.07405142%
202512	133000	   	21700	0.85	1.0588235294	0.0000001806	0.05544646%
202512	133000	   	21800	0.7	0.8571428571	0.0000001473	0.04522295%	133015	   	21800	0.7	0.8571428571	0.0000001473	0.04519208%	-0.00003087%	0.00000000%
202512	133000	   	21900	0.6	1.3333333333	0.0000001251	0.03840727%	133015	   	21900	0.6	1.3333333333	0.0000001877	0.05758691%	0.01917965%	50.03996803%
202512	133000	   	22000	0.85	0.8235294118	0.0000001757	0.05394210%
202512	133000	   	22100	0.7	0.8571428571	0.0000001434	0.04402560%	133015	   	22100	0.7	0.8571428571	0.0000002150	0.06596264%	0.02193704%	49.93026499%
202512	133000	   	22200	0.8	1.2500000000	0.0000001624	0.04985884%	133015	   	22200	0.8	1.5000000000	0.0000004871	0.14944372%	0.09958488%	199.93842365%
202512	133000	   	22300	0.95	1.1578947368	0.0000001911	0.05867010%
202512	133000	   	22400	0.9	1.1111111111	0.0000001794	0.05507805%
202512	133000	   	22500	0.9	1.3333333333	0.0000001778	0.05458683%
202512	133000	   	22600	0.9	1.3333333333	0.0000001763	0.05412631%
